event_type,region,country,state,city_code,city_name,date_type,date,name,description,optional,source,started_at,finished_at,created_at,updated_at,revised_at,published_at
HOLIDAY,CITY,BR,PA,1506500,SANTA ISABEL DO PARÁ,FIXED,01-07,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,PE,2613008,SÃO BENTO DO UNA,FIXED,01-07,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,ES,3203304,MANTENÓPOLIS,FIXED,01-07,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,BA,2924900,PLANALTINO,FIXED,01-08,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,PR,4114500,MANOEL RIBAS,FIXED,01-08,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,MG,3115805,CENTRALINA,FIXED,01-09,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,SP,3515350,EUCLIDES DA CUNHA PAULISTA,FIXED,01-09,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,SC,4201653,ARVOREDO,FIXED,01-09,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,SC,4202057,BALNEÁRIO BARRA DO SUL,FIXED,01-09,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,SP,3519253,IARAS,FIXED,01-09,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,PB,2507002,ITAPORANGA,FIXED,01-09,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,PR,4113254,LARANJAL,FIXED,01-09,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,GO,5220264,SÃO MIGUEL DO PASSA QUATRO,FIXED,01-09,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,SP,3514957,EMBAÚBA,FIXED,01-09,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,MG,3161809,SÃO GONÇALO DO PARÁ,FIXED,01-10,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,MG,3126703,FRANCISCO SÁ,FIXED,01-10,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,MG,3141207,MATUTINA,FIXED,01-10,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,BA,2929305,SÃO GONÇALO DOS CAMPOS,FIXED,01-10,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,MG,3162005,SÃO GONÇALO DO SAPUCAÍ,FIXED,01-10,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,BA,2904753,BURITIRAMA,FIXED,01-10,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,TO,1700350,ALIANÇA DO TOCANTINS,FIXED,01-10,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,PE,2607752,ITAPISSUMA,FIXED,01-10,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,RJ,3304904,SÃO GONÇALO,FIXED,01-10,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,MG,3171907,VIRGOLÂNDIA,FIXED,01-10,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,PI,2208809,REGENERAÇÃO,FIXED,01-10,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,CE,2309300,NOVA RUSSAS,FIXED,01-10,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,CE,2306801,JAGUARIBARA,FIXED,01-10,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,BA,2930303,SERRA DOURADA,FIXED,01-10,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,BA,2905107,CAÉM,FIXED,01-10,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,MA,2107902,PASSAGEM FRANCA,FIXED,01-11,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,SP,3521200,IPORANGA,FIXED,01-12,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,MG,3101706,ALMENARA,FIXED,01-13,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,CE,2313351,TEJUÇUOCA,FIXED,01-13,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,PE,2605301,EXU,FIXED,01-14,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,SC,4202602,BOM RETIRO,FIXED,01-14,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,RR,1400308,MUCAJAÍ,FIXED,01-14,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,MA,2107506,PAÇO DO LUMIAR,FIXED,01-14,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,SP,3529708,MIGUELÓPOLIS,FIXED,01-14,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,CE,2304251,CRUZ,FIXED,01-14,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,MG,3170404,UNAÍ,FIXED,01-15,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,BA,2923506,PALMEIRAS,FIXED,01-15,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,PE,2615003,TAQUARITINGA DO NORTE,FIXED,01-15,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,RS,4308805,GENERAL CÂMARA,FIXED,01-15,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,PE,2614204,SIRINHAÉM,FIXED,01-15,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,SC,4215703,SANTO AMARO DA IMPERATRIZ,FIXED,01-15,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,BA,2928604,SANTO AMARO,FIXED,01-15,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,PE,2607901,JABOATÃO DOS GUARARAPES,FIXED,01-15,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,MG,3153806,QUELUZITO,FIXED,01-15,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,AL,2704807,MARIBONDO,FIXED,01-15,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,BA,2919207,LAURO DE FREITAS,FIXED,01-15,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,SP,3518701,GUARUJÁ,FIXED,01-15,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,RJ,3303708,PARAÍBA DO SUL,FIXED,01-15,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,SE,2806602,SANTO AMARO DAS BROTAS,FIXED,01-15,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,RJ,3301009,CAMPOS DOS GOYTACAZES,FIXED,01-15,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,PR,4115002,MARILENA,FIXED,01-16,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,GO,5205059,CASTELÂNDIA,FIXED,01-16,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,RS,4314779,PONTÃO,FIXED,01-17,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,PR,4107256,DOURADINA,FIXED,01-17,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,PR,4102752,BELA VISTA DA CAROBA,FIXED,01-17,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,BA,2930105,SENHOR DO BONFIM,FIXED,01-17,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,BA,2917003,ITIÚBA,FIXED,01-17,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,PE,2616407,VITÓRIA DE SANTO ANTÃO,FIXED,01-17,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,PE,2611309,POMBOS,FIXED,01-18,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,RS,4307104,HERVAL,FIXED,01-18,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,RJ,3304755,SÃO FRANCISCO DE ITABAPOANA,FIXED,01-18,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,MG,3168804,TIRADENTES,FIXED,01-19,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,MG,3163102,SÃO JOSÉ DA VARGINHA,FIXED,01-19,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,BA,2920908,MASCOTE,FIXED,01-19,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,AC,1200401,RIO BRANCO,FIXED,01-20,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,CE,2310506,PEDRA BRANCA,FIXED,01-20,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,MG,3102605,ANDRADAS,FIXED,01-20,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,MG,3101904,ALPINÓPOLIS,FIXED,01-20,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,CE,2306405,ITAPIPOCA,FIXED,01-20,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,CE,2307700,MARANGUAPE,FIXED,01-20,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,CE,2308609,MONSENHOR TABOSA,FIXED,01-20,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,CE,2309102,MULUNGU,FIXED,01-20,Feriado municipal,,,FEBRABAN,,,,,,
